Time (s),Force (N) E1,Force (N) E2,Force (N) E3,Force (N) O1,Force (N) O2,Force (N) O3,Force (N) O4
0,-0.033,0.045,-0.062,-0.006,-0.006,-0.006,0.08
0.067,0.01,0.002,0.045,-0.006,0.08,0.102,-0.006
0.133,0.01,-0.041,-0.041,-0.006,0.037,0.059,0.037
0.2,-0.011,0.002,-0.105,0.037,-0.006,-0.006,0.08
0.267,-0.011,0.045,-0.041,-0.006,0.059,0.016,-0.006
0.333,0.01,0.045,-0.062,-0.006,0.037,0.123,0.059
0.4,0.01,-0.019,-0.105,0.037,-0.006,-0.006,0.145
0.467,0.01,-0.019,0.002,0.059,0.08,0.037,0.037
0.533,0.01,0.002,-0.041,-0.006,0.08,0.08,0.016
0.6,-0.033,0.045,-0.105,-0.006,-0.006,-0.006,0.08
0.667,-0.011,0.045,-0.019,-0.006,0.037,-0.006,0.059
0.733,0.01,-0.041,-0.019,-0.006,0.08,0.08,-0.006
0.8,0.01,-0.019,-0.105,0.016,-0.006,-0.006,0.08
0.867,-0.011,0.024,-0.084,0.037,0.016,-0.006,0.08
0.933,-0.011,0.045,-0.019,-0.006,0.059,0.123,-0.006
1,0.01,0.024,-0.105,-0.006,-0.006,0.037,0.08
1.067,0.01,-0.041,-0.084,0.037,0.016,-0.006,0.123
1.133,-0.011,-0.019,0.024,0.037,0.145,0.059,-0.006
1.2,-0.011,0.024,-0.105,-0.027,0.059,0.059,0.059
1.267,-0.033,0.045,-0.105,-0.006,-0.006,-0.006,0.102
1.333,0.01,0.024,0.002,-0.006,0.08,0.037,0.016
1.4,0.01,-0.019,-0.062,-0.006,0.037,0.059,0.016
1.467,0.01,0.002,-0.105,0.016,-0.006,-0.006,0.102
1.533,-0.033,0.024,-0.062,-0.006,0.037,0.059,0.016
1.6,-0.011,0.045,-0.041,-0.006,0.059,0.102,0.016
1.667,0.01,-0.019,-0.105,0.016,-0.006,-0.006,0.123
1.733,0.01,-0.041,-0.062,0.059,0.059,0.016,0.059
1.8,0.01,0.002,-0.041,-0.006,0.123,0.102,-0.006
1.867,-0.011,0.045,-0.105,-0.027,-0.006,0.016,0.059
1.933,-0.033,0.045,-0.105,-0.006,0.016,-0.006,0.102
2,-0.118,-0.041,0.002,-0.22,0.08,-0.37,-0.327
2.067,-2.499,-2.55,-1.027,-2.73,-1.164,-2.966,-2.73
2.133,-5.588,-5.897,-4.181,-5.668,-4.682,-5.947,-5.797
2.2,-5.824,-6.261,-6.283,-7.063,-6.033,-6.033,-5.969
2.267,-5.76,-6.154,-6.283,-6.72,-5.132,-5.926,-5.733
2.333,-5.738,-6.261,-6.218,-6.762,-4.832,-5.947,-5.175
2.4,-5.674,-6.261,-6.176,-6.784,-4.81,-5.99,-4.896
2.467,-5.653,-6.24,-6.24,-6.72,-4.832,-5.99,-4.832
2.533,-5.653,-6.283,-6.197,-6.698,-4.81,-6.012,-4.81
2.6,-5.653,-6.24,-6.197,-6.698,-4.81,-5.947,-4.81
2.667,-5.631,-6.154,-6.197,-6.677,-4.81,-5.862,-4.832
2.733,-5.631,-6.111,-6.24,-6.634,-4.81,-5.84,-4.832
2.8,-5.653,-6.111,-6.218,-6.677,-4.81,-5.84,-4.81
2.867,-5.588,-6.111,-6.24,-6.634,-4.746,-5.84,-4.81
2.933,-5.502,-6.09,-6.261,-6.591,-4.768,-5.819,-4.81
3,-5.481,-6.09,-6.283,-6.526,-4.789,-5.776,-4.832
3.067,-5.481,-6.068,-6.218,-6.526,-4.81,-5.776,-4.832
3.133,-5.502,-6.09,-6.154,-6.526,-4.768,-5.797,-4.81
3.2,-5.481,-6.09,-6.133,-6.526,-4.725,-5.69,-4.81
3.267,-5.481,-5.983,-6.111,-6.462,-4.746,-5.668,-4.81
3.333,-5.481,-5.94,-6.111,-6.441,-4.789,-5.668,-4.81
3.4,-5.438,-5.94,-6.111,-6.484,-4.81,-5.668,-4.81
3.467,-5.374,-5.94,-6.111,-6.462,-4.789,-5.647,-4.789
3.533,-5.395,-5.94,-6.111,-6.376,-4.725,-5.668,-4.789
3.6,-5.395,-5.918,-6.111,-6.355,-4.768,-5.647,-4.81
3.667,-5.352,-5.875,-6.09,-6.355,-4.789,-5.561,-4.81
3.733,-5.331,-5.897,-6.047,-6.355,-4.81,-5.518,-4.768
3.8,-5.309,-5.918,-6.047,-6.333,-4.768,-5.497,-4.746
3.867,-5.309,-5.811,-6.09,-6.355,-4.725,-5.518,-4.768
3.933,-5.288,-5.811,-6.09,-6.291,-4.768,-5.497,-4.81
4,-5.181,-5.768,-6.025,-6.291,-4.81,-5.475,-4.81
4.067,-5.159,-5.768,-5.961,-6.333,-4.81,-5.497,-4.768
4.133,-5.224,-5.768,-5.94,-6.291,-4.746,-5.475,-4.746
4.2,-5.224,-5.768,-5.94,-6.248,-4.703,-5.368,-4.789
4.267,-5.159,-5.768,-5.94,-6.269,-4.725,-5.411,-4.81
4.333,-5.159,-5.768,-5.961,-6.269,-4.703,-5.411,-4.81
4.4,-5.202,-5.661,-5.961,-6.226,-4.725,-5.368,-4.725
4.467,-5.116,-5.618,-5.94,-6.205,-4.725,-5.347,-4.746
4.533,-5.138,-5.639,-5.94,-6.183,-4.66,-5.325,-4.789
4.6,-5.138,-5.704,-5.961,-6.183,-4.682,-5.304,-4.81
4.667,-5.138,-5.639,-5.983,-6.097,-4.66,-5.239,-4.768
4.733,-5.116,-5.596,-6.025,-6.055,-4.682,-5.197,-4.725
4.8,-5.073,-5.596,-6.068,-6.033,-4.682,-5.175,-4.768
4.867,-5.052,-5.553,-6.111,-6.055,-4.66,-5.175,-4.789
4.933,-4.988,-5.532,-6.111,-6.097,-4.66,-5.197,-4.81
5,-4.966,-5.489,-6.025,-6.055,-4.66,-5.175,-4.746
5.067,-4.966,-5.446,-5.94,-6.012,-4.703,-5.154,-4.725
5.133,-4.945,-5.425,-5.94,-6.012,-4.682,-5.154,-4.768
5.2,-4.923,-5.468,-5.94,-5.969,-4.66,-5.111,-4.81
5.267,-4.945,-5.468,-5.94,-5.926,-4.66,-5.089,-4.81
5.333,-4.902,-5.468,-5.875,-5.926,-4.66,-5.068,-4.725
5.4,-4.816,-5.425,-5.811,-6.012,-4.703,-4.982,-4.703
5.467,-4.816,-5.425,-5.768,-5.99,-4.682,-4.982,-4.746
5.533,-4.795,-5.425,-5.789,-5.947,-4.66,-4.939,-4.725
5.6,-4.773,-5.425,-5.768,-5.947,-4.66,-4.918,-4.768
5.667,-4.795,-5.403,-5.768,-5.926,-4.66,-4.853,-4.725
5.733,-4.752,-5.425,-5.704,-5.883,-4.703,-4.81,-4.66
5.8,-4.666,-5.382,-5.639,-5.84,-4.725,-4.81,-4.66
5.867,-4.687,-5.253,-5.618,-5.84,-4.682,-4.789,-4.66
5.933,-4.644,-5.253,-5.596,-5.819,-4.66,-4.746,-4.725
6,-4.623,-5.253,-5.532,-5.819,-4.66,-4.768,-4.66
6.067,-4.602,-5.253,-5.489,-5.819,-4.725,-4.81,-4.682
6.133,-4.537,-5.21,-5.446,-5.711,-4.703,-4.81,-4.66
6.2,-4.516,-5.124,-5.489,-5.668,-4.682,-4.768,-4.66
6.267,-4.473,-5.082,-5.425,-5.668,-4.66,-4.746,-4.682
6.333,-4.451,-5.082,-5.425,-5.647,-4.682,-4.789,-4.682
6.4,-4.387,-5.082,-5.339,-5.668,-4.725,-4.81,-4.66
6.467,-4.366,-5.06,-5.253,-5.583,-4.703,-4.81,-4.639
6.533,-4.43,-4.996,-5.253,-5.518,-4.682,-4.746,-4.66
6.6,-4.451,-4.931,-5.189,-5.518,-4.66,-4.746,-4.682
6.667,-4.323,-4.931,-5.189,-5.518,-4.682,-4.768,-4.682
6.733,-4.237,-4.91,-5.21,-5.497,-4.746,-4.81,-4.682
6.8,-4.108,-4.91,-5.253,-5.433,-4.703,-4.768,-4.66
6.867,-4.108,-4.91,-5.232,-5.411,-4.66,-4.725,-4.66
6.933,-4.108,-4.803,-5.167,-5.347,-4.66,-4.768,-4.703
7,-4.108,-4.76,-5.189,-5.347,-4.682,-4.768,-4.682
7.067,-4.108,-4.738,-5.232,-5.325,-4.725,-4.789,-4.682
7.133,-4.108,-4.738,-5.253,-5.325,-4.703,-4.746,-4.66
7.2,-4.108,-4.674,-5.232,-5.347,-4.66,-4.703,-4.682
7.267,-4.108,-4.653,-5.167,-5.347,-4.66,-4.66,-4.725
7.333,-4.108,-4.631,-5.189,-5.347,-4.682,-4.703,-4.682
7.4,-4.108,-4.567,-5.232,-5.325,-4.725,-4.746,-4.682
7.467,-4.108,-4.567,-5.253,-5.325,-4.682,-4.703,-4.66
7.533,-4.108,-4.567,-5.21,-5.325,-4.66,-4.66,-4.703
7.6,-4.108,-4.567,-5.167,-5.325,-4.639,-4.66,-4.746
7.667,-4.108,-4.567,-5.21,-5.325,-4.682,-4.66,-4.703
7.733,-4.108,-4.567,-5.21,-5.325,-4.682,-4.703,-4.682
7.8,-4.108,-4.567,-5.189,-5.325,-4.66,-4.682,-4.66
7.867,-4.108,-4.567,-5.167,-5.325,-4.66,-4.66,-4.703
7.933,-4.087,-4.567,-5.146,-5.325,-4.639,-4.639,-4.746
8,-4.087,-4.567,-5.124,-5.325,-4.639,-4.66,-4.703
8.067,-4.108,-4.567,-5.103,-5.325,-4.639,-4.682,-4.66
8.133,-4.108,-4.567,-5.082,-5.325,-4.639,-4.682,-4.66
8.2,-4.108,-4.567,-5.103,-5.325,-4.639,-4.66,-4.682
8.267,-4.108,-4.567,-5.082,-5.325,-4.639,-4.66,-4.725
8.333,-4.108,-4.567,-5.082,-5.325,-4.639,-4.66,-4.703
8.4,-4.065,-4.545,-5.082,-5.325,-4.639,-4.682,-4.66
8.467,-4.087,-4.567,-5.103,-5.325,-4.639,-4.725,-4.66
8.533,-4.108,-4.567,-5.103,-5.325,-4.639,-4.703,-4.725
8.6,-4.087,-4.567,-5.082,-5.325,-4.639,-4.66,-4.725
8.667,-4.044,-4.545,-5.082,-5.325,-4.639,-4.66,-4.682
8.733,-4.044,-4.545,-5.082,-5.325,-4.639,-4.703,-4.66
8.8,-4.087,-4.567,-5.103,-5.325,-4.639,-4.703,-4.639
8.867,-4.108,-4.567,-5.082,-5.325,-4.639,-4.703,-4.703
8.933,-4.087,-4.567,-5.082,-5.304,-4.639,-4.66,-4.725
9,-4.022,-4.545,-5.082,-5.325,-4.639,-4.66,-4.682
9.067,-4.065,-4.545,-5.103,-5.282,-4.639,-4.725,-4.66
9.133,-4.087,-4.545,-5.124,-5.261,-4.639,-4.725,-4.639
9.2,-4.108,-4.567,-5.082,-5.218,-4.639,-4.682,-4.682
9.267,-4.065,-4.567,-5.082,-5.218,-4.639,-4.66,-4.66
9.333,-4.022,-4.524,-5.082,-5.261,-4.639,-4.682,-4.66
9.4,-4.065,-4.524,-5.103,-5.261,-4.639,-4.725,-4.639
9.467,-4.108,-4.524,-5.103,-5.261,-4.639,-4.725,-4.639
9.533,-4.108,-4.545,-5.082,-5.239,-4.639,-4.682,-4.66
9.6,-4.044,-4.567,-5.082,-5.197,-4.639,-4.66,-4.639
9.667,-4.044,-4.524,-5.082,-5.239,-4.639,-4.66,-4.639
9.733,-4.065,-4.502,-5.103,-5.261,-4.639,-4.725,-4.639
9.8,-4.108,-4.524,-5.103,-5.218,-4.639,-4.703,-4.639
9.867,-4.108,-4.545,-5.082,-5.197,-4.639,-4.682,-4.639
9.933,-4.044,-4.567,-5.082,-5.175,-4.639,-4.66,-4.639
10,-4.044,-4.524,-5.082,-5.218,-4.639,-4.682,-4.639
10.067,-4.087,-4.481,-5.103,-5.239,-4.639,-4.746,-4.639
10.133,-4.108,-4.524,-5.103,-5.218,-4.596,-4.703,-4.639
10.2,-4.087,-4.567,-5.082,-5.175,-4.617,-4.66,-4.639
10.267,-4.022,-4.545,-5.082,-5.197,-4.596,-4.639,-4.639
10.333,-4.044,-4.502,-5.082,-5.261,-4.617,-4.682,-4.639
10.4,-4.044,-4.502,-5.082,-5.239,-4.575,-4.725,-4.639
10.467,-4.108,-4.524,-5.082,-5.197,-4.596,-4.703,-4.639
10.533,-4.087,-4.567,-5.082,-5.175,-4.575,-4.66,-4.639
10.6,-4.022,-4.524,-5.082,-5.218,-4.596,-4.639,-4.639
10.667,-3.979,-4.481,-5.082,-5.261,-4.575,-4.66,-4.639
10.733,-4.001,-4.502,-5.103,-5.239,-4.532,-4.725,-4.639
10.8,-4.022,-4.545,-5.082,-5.197,-4.553,-4.682,-4.639
10.867,-3.979,-4.567,-5.082,-5.175,-4.575,-4.66,-4.639
10.933,-4.001,-4.524,-5.06,-5.197,-4.553,-4.639,-4.639
11,-3.958,-4.481,-5.082,-5.261,-4.51,-4.66,-4.639
11.067,-3.937,-4.502,-5.082,-5.218,-4.51,-4.66,-4.639
11.133,-3.958,-4.524,-5.039,-5.197,-4.553,-4.66,-4.639
11.2,-3.979,-4.567,-5.039,-5.175,-4.575,-4.66,-4.639
11.267,-3.958,-4.502,-5.06,-5.239,-4.532,-4.639,-4.639
11.333,-3.937,-4.481,-5.082,-5.261,-4.51,-4.639,-4.639
11.4,-3.937,-4.438,-5.082,-5.218,-4.489,-4.66,-4.639
11.467,-3.958,-4.395,-5.06,-5.175,-4.532,-4.639,-4.639
11.533,-3.979,-4.417,-5.017,-5.175,-4.575,-4.639,-4.639
11.6,-3.937,-4.438,-5.06,-5.218,-4.532,-4.639,-4.639
11.667,-3.937,-4.417,-5.082,-5.239,-4.489,-4.639,-4.639
11.733,-3.937,-4.438,-5.082,-5.218,-4.489,-4.639,-4.639
11.8,-3.958,-4.395,-5.017,-5.175,-4.553,-4.639,-4.639
11.867,-3.979,-4.395,-5.017,-5.197,-4.553,-4.639,-4.617
11.933,-3.937,-4.417,-5.06,-5.239,-4.532,-4.639,-4.617
12,-3.937,-4.395,-5.082,-5.239,-4.489,-4.639,-4.617
12.067,-3.937,-4.417,-5.082,-5.239,-4.51,-4.639,-4.617
12.133,-3.958,-4.395,-4.996,-5.197,-4.553,-4.639,-4.617
12.2,-3.958,-4.395,-5.039,-5.175,-4.553,-4.639,-4.639
12.267,-3.937,-4.395,-5.06,-5.175,-4.51,-4.639,-4.596
12.333,-3.937,-4.395,-5.082,-5.239,-4.489,-4.639,-4.575
12.4,-3.937,-4.395,-5.039,-5.218,-4.51,-4.639,-4.575
12.467,-3.979,-4.395,-5.017,-5.197,-4.553,-4.639,-4.575
12.533,-3.958,-4.395,-5.039,-5.154,-4.575,-4.639,-4.532
12.6,-2.092,-2.014,-5.082,-1.614,-3.974,-2.022,-2.108
12.667,0.182,0.152,-0.641,0.016,-0.563,0.016,0.037
12.733,0.16,0.088,0.024,0.016,-0.006,0.016,0.08
12.8,0.182,0.066,0.002,-0.006,0.059,0.102,-0.006
12.867,0.139,0.066,0.024,-0.006,0.037,-0.006,0.08
12.933,0.053,0.088,0.045,-0.006,-0.006,0.016,0.145
13,0.01,0.066,0.066,-0.006,0.059,0.059,0.016
13.067,0.01,0.066,0.002,-0.006,0.08,0.016,0.016
13.133,-0.033,0.066,-0.019,-0.006,-0.006,0.016,0.08
13.2,-0.011,0.066,0.024,-0.027,0.016,0.145,0.037
13.267,0.01,0.002,-0.062,-0.006,0.102,0.037,-0.006
13.333,0.01,-0.019,-0.084,0.059,0.016,0.016,0.08
13.4,0.01,0.024,-0.041,-0.006,-0.006,0.059,0.016
13.467,0.01,0.045,-0.062,-0.006,0.037,0.016,-0.006
13.533,0.01,0.045,-0.105,-0.006,0.037,-0.006,0.102
13.6,0.01,-0.019,-0.019,-0.006,-0.006,0.037,0.08
13.667,0.01,-0.019,-0.019,-0.006,0.08,0.037,-0.006
13.733,-0.011,0.024,-0.105,-0.006,0.08,-0.006,0.037
13.8,-0.033,0.045,-0.041,-0.006,-0.006,0.059,0.08
13.867,0.01,0.002,-0.019,-0.048,0.037,0.123,-0.006
13.933,0.01,-0.041,-0.105,-0.006,0.102,0.016,0.059
14,0.01,0.002,-0.084,0.059,0.016,0.037,0.102
14.067,-0.011,0.024,-0.062,-0.006,0.016,0.123,-0.006
14.133,0.01,0.066,-0.105,-0.006,0.059,-0.006,0.016
14.2,0.01,0.024,-0.041,-0.006,0.016,-0.006,0.145
14.267,0.01,-0.041,0.024,-0.006,-0.006,0.08,0.059
14.333,0.01,0.002,-0.105,-0.006,0.123,0.016,0.016
14.4,-0.033,0.045,-0.105,-0.006,0.059,-0.006,0.08
14.467,-0.011,0.045,0.024,-0.027,-0.006,0.102,0.08
14.533,0.01,-0.019,-0.105,-0.048,0.08,0.037,-0.006
14.6,-0.011,-0.019,-0.105,-0.22,0.08,-0.113,-0.048
14.667,-1.148,-1.242,-0.234,-3.287,-0.456,-2.623,-2.129
14.733,-4.709,-5.532,-3.516,-7.17,-3.845,-6.269,-5.583
14.8,-8.119,-8.986,-7.162,-9.272,-7.32,-8.972,-8.457
14.867,-10.608,-10.959,-10.037,-10.924,-9.294,-10.795,-10.452
14.933,-12.066,-11.173,-12.053,-10.752,-10.902,-11.353,-11.053
15,-12.216,-10.959,-12.632,-10.645,-11.203,-11.31,-10.988
15.067,-12.281,-10.938,-12.546,-10.645,-11.203,-11.267,-11.01
15.133,-12.195,-10.916,-12.503,-10.602,-11.117,-11.16,-10.988
15.2,-12.173,-10.916,-12.482,-10.559,-11.01,-11.181,-10.859
15.267,-12.173,-10.959,-12.525,-10.581,-10.988,-11.16,-10.859
15.333,-12.173,-10.98,-12.568,-10.538,-10.988,-11.16,-10.817
15.4,-12.109,-10.916,-12.525,-10.473,-10.967,-11.16,-10.817
15.467,-12.109,-10.916,-12.482,-10.473,-10.902,-11.138,-10.688
15.533,-12.109,-10.916,-12.482,-10.473,-10.859,-11.095,-10.666
15.6,-12.023,-10.916,-12.546,-10.473,-10.817,-11.095,-10.709
15.667,-12.002,-10.916,-12.546,-10.473,-10.795,-11.138,-10.688
15.733,-12.002,-10.916,-12.525,-10.473,-10.752,-11.053,-10.645
15.8,-12.002,-10.852,-12.482,-10.409,-10.666,-11.074,-10.645
15.867,-12.002,-10.83,-12.503,-10.409,-10.688,-11.01,-10.623
15.933,-12.002,-10.83,-12.568,-10.43,-10.623,-11.01,-10.538
16,-11.98,-10.809,-12.546,-10.452,-10.581,-11.01,-10.452
16.067,-11.916,-10.744,-12.611,-10.452,-10.559,-11.01,-10.345
16.133,-11.938,-10.744,-12.611,-10.345,-10.495,-11.031,-10.216
16.2,-11.959,-10.744,-12.632,-10.345,-10.473,-11.074,-9.98
16.267,-11.83,-10.744,-12.654,-10.302,-10.43,-11.01,-9.615
16.333,-11.852,-10.744,-12.696,-10.302,-10.302,-11.01,-9.229
16.4,-11.852,-10.723,-12.675,-10.323,-10.237,-10.988,-9.122
16.467,-11.83,-10.68,-12.761,-10.323,-10.194,-10.988,-9.122
16.533,-11.83,-10.659,-12.804,-10.302,-10.13,-10.988,-9.143
16.6,-11.83,-10.68,-12.868,-10.302,-9.959,-10.988,-9.143
16.667,-11.787,-10.659,-12.975,-10.302,-9.808,-10.967,-9.122
16.733,-11.766,-10.616,-13.147,-10.302,-9.401,-10.988,-9.122
16.8,-11.809,-10.594,-13.147,-10.259,-9.165,-10.924,-9.122
16.867,-11.809,-10.573,-13.147,-10.237,-9.143,-10.902,-9.122
16.933,-11.787,-10.573,-13.104,-10.28,-9.143,-10.859,-9.101
17,-11.744,-10.573,-13.104,-10.28,-9.208,-10.838,-9.101
17.067,-11.744,-10.551,-13.125,-10.302,-9.186,-10.859,-9.101
17.133,-11.723,-10.509,-13.125,-10.216,-9.143,-10.902,-9.122
17.2,-11.68,-10.53,-13.083,-10.194,-9.143,-10.902,-9.101
17.267,-11.68,-10.573,-13.04,-10.173,-9.165,-10.859,-9.101
17.333,-11.68,-10.509,-13.018,-10.152,-9.208,-10.817,-9.101
17.4,-11.68,-10.466,-12.975,-10.152,-9.165,-10.838,-9.101
17.467,-11.659,-10.487,-12.975,-10.216,-9.143,-10.817,-9.101
17.533,-11.659,-10.466,-12.975,-10.173,-9.122,-10.817,-9.101
17.6,-11.637,-10.423,-12.975,-10.152,-9.165,-10.817,-9.101
17.667,-11.659,-10.423,-12.975,-10.13,-9.208,-10.817,-9.101
17.733,-11.573,-10.444,-12.975,-10.13,-9.165,-10.795,-9.101
17.8,-11.53,-10.401,-12.954,-10.13,-9.143,-10.774,-9.101
17.867,-11.509,-10.401,-12.89,-10.087,-9.143,-10.709,-9.143
