Date and Time Run #1,Time (s) Run #1,Position (m) Run #1,Force (N) Run #1,Speed (mm/min) Run #1,Date and Time Run #2,Time (s) Run #2,Position (m) Run #2,Force (N) Run #2,Speed (mm/min) Run #2,Date and Time Run #3,Time (s) Run #3,Position (m) Run #3,Force (N) Run #3,Speed (mm/min) Run #3,Date and Time Run #4,Time (s) Run #4,Position (m) Run #4,Force (N) Run #4,Speed (mm/min) Run #4,Date and Time Run #5,Time (s) Run #5,Position (m) Run #5,Force (N) Run #5,Speed (mm/min) Run #5
03/04/2024 17:16:58,0,0,0,,03/04/2024 17:17:40,0,0,0,0,03/04/2024 17:18:23,0,0,0,0,03/04/2024 17:19:10,0,0,0,0,03/04/2024 17:19:51,0,0,0,0
03/04/2024 17:16:58,0.1,0,0,0,03/04/2024 17:17:40,0.1,0,0,0,03/04/2024 17:18:23,0.1,0,1,0,03/04/2024 17:19:10,0.1,0,0,0,03/04/2024 17:19:51,0.1,0,0,0
03/04/2024 17:16:58,0.2,0,0,0,03/04/2024 17:17:40,0.2,0,0,0,03/04/2024 17:18:23,0.2,0,0,0,03/04/2024 17:19:10,0.2,0,0,0,03/04/2024 17:19:51,0.2,0,0,0
03/04/2024 17:16:58,0.3,0,0,0,03/04/2024 17:17:40,0.3,0,0,0,03/04/2024 17:18:23,0.3,0,0,0,03/04/2024 17:19:10,0.3,0,0,0,03/04/2024 17:19:51,0.3,0,0,0
03/04/2024 17:16:58,0.4,0,0,0,03/04/2024 17:17:40,0.4,0,0,0,03/04/2024 17:18:23,0.4,0,0,0,03/04/2024 17:19:10,0.4,0,0,0,03/04/2024 17:19:51,0.4,0,0,0
03/04/2024 17:16:58,0.5,0,-1,0,03/04/2024 17:17:40,0.5,0,0,0,03/04/2024 17:18:23,0.5,0,0,0,03/04/2024 17:19:10,0.5,0,0,0,03/04/2024 17:19:51,0.5,0,0,0
03/04/2024 17:16:58,0.6,0,0,0,03/04/2024 17:17:40,0.6,0,0,0,03/04/2024 17:18:23,0.6,0,0,0,03/04/2024 17:19:10,0.6,0,0,0,03/04/2024 17:19:51,0.6,0,0,0
03/04/2024 17:16:58,0.7,0,-1,0,03/04/2024 17:17:40,0.7,0,0,0,03/04/2024 17:18:23,0.7,0,0,0,03/04/2024 17:19:10,0.7,0,0,0,03/04/2024 17:19:51,0.7,0,0,0
03/04/2024 17:16:58,0.8,0,0,0,03/04/2024 17:17:40,0.8,0,0,0,03/04/2024 17:18:23,0.8,0,0,0,03/04/2024 17:19:10,0.8,0,0,0,03/04/2024 17:19:51,0.8,0,0,0
03/04/2024 17:16:58,0.9,0,-1,0,03/04/2024 17:17:40,0.9,0,0,0,03/04/2024 17:18:23,0.9,0,0,0,03/04/2024 17:19:10,0.9,0,0,0,03/04/2024 17:19:51,0.9,0,0,0
03/04/2024 17:16:59,1,0,-1,0,03/04/2024 17:17:41,1,0,0,0,03/04/2024 17:18:24,1,0,1,0,03/04/2024 17:19:11,1,0,0,0,03/04/2024 17:19:52,1,0,0,0
03/04/2024 17:16:59,1.1,0,0,0,03/04/2024 17:17:41,1.1,0,0,0,03/04/2024 17:18:24,1.1,0,0,0,03/04/2024 17:19:11,1.1,0,0,0,03/04/2024 17:19:52,1.1,0,0,0
03/04/2024 17:16:59,1.2,0,1,0,03/04/2024 17:17:41,1.2,0,0,0,03/04/2024 17:18:24,1.2,0,0,0,03/04/2024 17:19:11,1.2,0,0,0,03/04/2024 17:19:52,1.2,0,0,0
03/04/2024 17:16:59,1.3,0,4,0,03/04/2024 17:17:41,1.3,0,3,0,03/04/2024 17:18:24,1.3,0,6,0,03/04/2024 17:19:11,1.3,0,7,0,03/04/2024 17:19:52,1.3,0,8,0
03/04/2024 17:16:59,1.4,0,4,0,03/04/2024 17:17:41,1.4,0,7,0,03/04/2024 17:18:24,1.4,0,11,0,03/04/2024 17:19:11,1.4,0,12,0,03/04/2024 17:19:52,1.4,0,14,0
03/04/2024 17:16:59,1.5,0,3,0,03/04/2024 17:17:41,1.5,0,7,0,03/04/2024 17:18:24,1.5,0,13,0,03/04/2024 17:19:11,1.5,0,14,0,03/04/2024 17:19:52,1.5,0,17,0
03/04/2024 17:16:59,1.6,0,4,0,03/04/2024 17:17:41,1.6,0,8,0,03/04/2024 17:18:24,1.6,0,13,0,03/04/2024 17:19:11,1.6,0,14,0,03/04/2024 17:19:52,1.6,0,18,0
03/04/2024 17:16:59,1.7,0,3,0,03/04/2024 17:17:41,1.7,0,8,0,03/04/2024 17:18:24,1.7,0,13,0,03/04/2024 17:19:11,1.7,0,13,0,03/04/2024 17:19:52,1.7,0,18,0
03/04/2024 17:16:59,1.8,0,4,0,03/04/2024 17:17:41,1.8,0,7,0,03/04/2024 17:18:24,1.8,0,13,0,03/04/2024 17:19:11,1.8,0,13,0,03/04/2024 17:19:52,1.8,0,18,0
03/04/2024 17:16:59,1.9,0,4,0,03/04/2024 17:17:41,1.9,0,7,0,03/04/2024 17:18:24,1.9,0,13,0,03/04/2024 17:19:11,1.9,0,13,0,03/04/2024 17:19:52,1.9,0,17,0
03/04/2024 17:17:00,2,0,3,0,03/04/2024 17:17:42,2,0,7,0,03/04/2024 17:18:25,2,0,13,0,03/04/2024 17:19:12,2,0,13,0,03/04/2024 17:19:53,2,0,17,0
03/04/2024 17:17:00,2.1,0,3,0,03/04/2024 17:17:42,2.1,0,7,0,03/04/2024 17:18:25,2.1,0,13,0,03/04/2024 17:19:12,2.1,0,13,0,03/04/2024 17:19:53,2.1,0,17,0
03/04/2024 17:17:00,2.2,0,3,0,03/04/2024 17:17:42,2.2,0,7,0,03/04/2024 17:18:25,2.2,0,13,0,03/04/2024 17:19:12,2.2,0,13,0,03/04/2024 17:19:53,2.2,0,17,0
03/04/2024 17:17:00,2.3,0,4,0,03/04/2024 17:17:42,2.3,0,7,0,03/04/2024 17:18:25,2.3,0,13,0,03/04/2024 17:19:12,2.3,0,13,0,03/04/2024 17:19:53,2.3,0,17,0
03/04/2024 17:17:00,2.4,0,3,0,03/04/2024 17:17:42,2.4,0,7,0,03/04/2024 17:18:25,2.4,0,13,0,03/04/2024 17:19:12,2.4,0,13,0,03/04/2024 17:19:53,2.4,0,17,0
03/04/2024 17:17:00,2.5,0,3,0,03/04/2024 17:17:42,2.5,0,7,0,03/04/2024 17:18:25,2.5,0,13,0,03/04/2024 17:19:12,2.5,0,13,0,03/04/2024 17:19:53,2.5,0,17,0
03/04/2024 17:17:00,2.6,0,3,0,03/04/2024 17:17:42,2.6,0,7,0,03/04/2024 17:18:25,2.6,0,13,0,03/04/2024 17:19:12,2.6,0,13,0,03/04/2024 17:19:53,2.6,0,18,0
03/04/2024 17:17:00,2.7,0,3,0,03/04/2024 17:17:42,2.7,0,7,0,03/04/2024 17:18:25,2.7,0,13,0,03/04/2024 17:19:12,2.7,0,13,0,03/04/2024 17:19:53,2.7,0,17,0
03/04/2024 17:17:00,2.8,0,4,0,03/04/2024 17:17:42,2.8,0,7,0,03/04/2024 17:18:25,2.8,0,13,0,03/04/2024 17:19:12,2.8,0,13,0,03/04/2024 17:19:53,2.8,0,17,0
03/04/2024 17:17:00,2.9,0,4,0,03/04/2024 17:17:42,2.9,0,7,0,03/04/2024 17:18:25,2.9,0,13,0,03/04/2024 17:19:12,2.9,0,13,0,03/04/2024 17:19:53,2.9,0,17,0
03/04/2024 17:17:01,3,0,3,0,03/04/2024 17:17:43,3,0,7,0,03/04/2024 17:18:26,3,0,13,0,03/04/2024 17:19:13,3,0,13,0,03/04/2024 17:19:54,3,0,17,0
03/04/2024 17:17:01,3.1,0,3,0,03/04/2024 17:17:43,3.1,0,7,0,03/04/2024 17:18:26,3.1,0,13,0,03/04/2024 17:19:13,3.1,0,13,0,03/04/2024 17:19:54,3.1,0,17,0
03/04/2024 17:17:01,3.2,0,3,0,03/04/2024 17:17:43,3.2,0,7,0,03/04/2024 17:18:26,3.2,0,13,0,03/04/2024 17:19:13,3.2,0,13,0,03/04/2024 17:19:54,3.2,0,17,0
03/04/2024 17:17:01,3.3,0,3,0,03/04/2024 17:17:43,3.3,0,7,0,03/04/2024 17:18:26,3.3,0,12,0,03/04/2024 17:19:13,3.3,0,13,0,03/04/2024 17:19:54,3.3,0,17,0
03/04/2024 17:17:01,3.4,0,3,0,03/04/2024 17:17:43,3.4,0,7,0,03/04/2024 17:18:26,3.4,0,13,0,03/04/2024 17:19:13,3.4,0,13,0,03/04/2024 17:19:54,3.4,0,17,0
03/04/2024 17:17:01,3.5,0,3,0,03/04/2024 17:17:43,3.5,0,6,0,03/04/2024 17:18:26,3.5,0,13,0,03/04/2024 17:19:13,3.5,0,13,0,03/04/2024 17:19:54,3.5,0,17,0
03/04/2024 17:17:01,3.6,0,3,0,03/04/2024 17:17:43,3.6,0,7,0,03/04/2024 17:18:26,3.6,0,13,0,03/04/2024 17:19:13,3.6,0,13,0,03/04/2024 17:19:54,3.6,0,16,0
03/04/2024 17:17:01,3.7,0,3,0,03/04/2024 17:17:43,3.7,0,7,0,03/04/2024 17:18:26,3.7,0,13,0,03/04/2024 17:19:13,3.7,0,13,0,03/04/2024 17:19:54,3.7,0,17,0
03/04/2024 17:17:01,3.8,0,3,0,03/04/2024 17:17:43,3.8,0,7,0,03/04/2024 17:18:26,3.8,0,13,0,03/04/2024 17:19:13,3.8,0,13,0,03/04/2024 17:19:54,3.8,0,17,0
03/04/2024 17:17:01,3.9,0,3,0,03/04/2024 17:17:43,3.9,0,7,0,03/04/2024 17:18:26,3.9,0,13,0,03/04/2024 17:19:13,3.9,0,13,0,03/04/2024 17:19:54,3.9,0,16,0
03/04/2024 17:17:02,4,0,3,0,03/04/2024 17:17:44,4,0,6,0,03/04/2024 17:18:27,4,0,13,0,03/04/2024 17:19:14,4,0,12,0,03/04/2024 17:19:55,4,0,15,0
03/04/2024 17:17:02,4.1,0,3,0,03/04/2024 17:17:44,4.1,0,7,0,03/04/2024 17:18:27,4.1,0,13,0,03/04/2024 17:19:14,4.1,0,13,0,03/04/2024 17:19:55,4.1,0,14,0
03/04/2024 17:17:02,4.2,0,3,0,03/04/2024 17:17:44,4.2,0,6,0,03/04/2024 17:18:27,4.2,0,13,0,03/04/2024 17:19:14,4.2,0,13,0,03/04/2024 17:19:55,4.2,0,15,0
03/04/2024 17:17:02,4.3,0,3,0,03/04/2024 17:17:44,4.3,0,7,0,03/04/2024 17:18:27,4.3,0,13,0,03/04/2024 17:19:14,4.3,0,13,0,03/04/2024 17:19:55,4.3,0,15,0
03/04/2024 17:17:02,4.4,0,3,0,03/04/2024 17:17:44,4.4,0,7,0,03/04/2024 17:18:27,4.4,0,13,0,03/04/2024 17:19:14,4.4,0,13,0,03/04/2024 17:19:55,4.4,0,13,0
03/04/2024 17:17:02,4.5,0,3,0,03/04/2024 17:17:44,4.5,0,7,0,03/04/2024 17:18:27,4.5,0,13,0,03/04/2024 17:19:14,4.5,0,13,0,03/04/2024 17:19:55,4.5,0,11,0
03/04/2024 17:17:02,4.6,0,3,0,03/04/2024 17:17:44,4.6,0,6,0,03/04/2024 17:18:27,4.6,0,13,0,03/04/2024 17:19:14,4.6,0,13,0,03/04/2024 17:19:55,4.6,0,16,0
03/04/2024 17:17:02,4.7,0,3,0,03/04/2024 17:17:44,4.7,0,6,0,03/04/2024 17:18:27,4.7,0,13,0,03/04/2024 17:19:14,4.7,0,13,0,03/04/2024 17:19:55,4.7,0,17,0
03/04/2024 17:17:02,4.8,0,3,0,03/04/2024 17:17:44,4.8,0,6,0,03/04/2024 17:18:27,4.8,0,12,0,03/04/2024 17:19:14,4.8,0,13,0,03/04/2024 17:19:55,4.8,0,17,0
03/04/2024 17:17:02,4.9,0,3,0,03/04/2024 17:17:44,4.9,0,6,0,03/04/2024 17:18:27,4.9,0,12,0,03/04/2024 17:19:14,4.9,0,13,0,03/04/2024 17:19:55,4.9,0,17,0
03/04/2024 17:17:03,5,0,3,0,03/04/2024 17:17:45,5,0,7,0,03/04/2024 17:18:28,5,0,13,0,03/04/2024 17:19:15,5,0,13,0,03/04/2024 17:19:56,5,0,17,0
03/04/2024 17:17:03,5.1,0,-1,0,03/04/2024 17:17:45,5.1,0,6,0,03/04/2024 17:18:28,5.1,0,12,0,03/04/2024 17:19:15,5.1,0,13,0,03/04/2024 17:19:56,5.1,0,17,0
03/04/2024 17:17:03,5.2,0,-1,0,03/04/2024 17:17:45,5.2,0,1,0,03/04/2024 17:18:28,5.2,0,1,0,03/04/2024 17:19:15,5.2,0,3,0,03/04/2024 17:19:56,5.2,0,0,0
03/04/2024 17:17:03,5.3,0,0,0,03/04/2024 17:17:45,5.3,0,0,0,03/04/2024 17:18:28,5.3,0,0,0,03/04/2024 17:19:15,5.3,0,0,0,03/04/2024 17:19:56,5.3,0,0,0
03/04/2024 17:17:03,5.4,0,0,0,03/04/2024 17:17:45,5.4,0,0,0,03/04/2024 17:18:28,5.4,0,0,0,03/04/2024 17:19:15,5.4,0,0,0,03/04/2024 17:19:56,5.4,0,-1,0
03/04/2024 17:17:03,5.5,0,0,0,03/04/2024 17:17:45,5.5,0,0,0,03/04/2024 17:18:28,5.5,0,0,0,03/04/2024 17:19:15,5.5,0,0,0,03/04/2024 17:19:56,5.5,0,0,0
03/04/2024 17:17:03,5.6,0,-1,0,03/04/2024 17:17:45,5.6,0,0,0,03/04/2024 17:18:28,5.6,0,0,0,03/04/2024 17:19:15,5.6,0,0,0,03/04/2024 17:19:56,5.6,0,0,0
03/04/2024 17:17:03,5.7,0,-1,0,03/04/2024 17:17:45,5.7,0,0,0,03/04/2024 17:18:28,5.7,0,0,0,03/04/2024 17:19:15,5.7,0,0,0,03/04/2024 17:19:56,5.7,0,0,0
03/04/2024 17:17:03,5.8,0,0,0,03/04/2024 17:17:45,5.8,0,0,0,03/04/2024 17:18:28,5.8,0,0,0,03/04/2024 17:19:15,5.8,0,0,0,03/04/2024 17:19:56,5.8,0,0,0
03/04/2024 17:17:03,5.9,0,-1,0,03/04/2024 17:17:45,5.9,0,0,0,03/04/2024 17:18:28,5.9,0,0,0,03/04/2024 17:19:15,5.9,0,0,0,03/04/2024 17:19:56,5.9,0,0,0
03/04/2024 17:17:04,6,0,-1,0,03/04/2024 17:17:46,6,0,0,0,03/04/2024 17:18:29,6,0,0,0,03/04/2024 17:19:16,6,0,0,0,03/04/2024 17:19:57,6,0,0,0
03/04/2024 17:17:04,6.1,0,0,0,03/04/2024 17:17:46,6.1,0,0,0,03/04/2024 17:18:29,6.1,0,0,0,03/04/2024 17:19:16,6.1,0,0,0,03/04/2024 17:19:57,6.1,0,0,0
03/04/2024 17:17:04,6.2,0,-1,0,03/04/2024 17:17:46,6.2,0,0,0,03/04/2024 17:18:29,6.2,0,0,0,03/04/2024 17:19:16,6.2,0,0,0,03/04/2024 17:19:57,6.2,0,0,0
03/04/2024 17:17:04,6.3,0,-1,0,03/04/2024 17:17:46,6.3,0,0,0,03/04/2024 17:18:29,6.3,0,0,0,03/04/2024 17:19:16,6.3,0,0,0,03/04/2024 17:19:57,6.3,0,0,0
03/04/2024 17:17:04,6.4,0,-1,0,03/04/2024 17:17:46,6.4,0,0,0,03/04/2024 17:18:29,6.4,0,0,0,03/04/2024 17:19:16,6.4,0,0,0,03/04/2024 17:19:57,6.4,0,0,0
03/04/2024 17:17:04,6.5,0,0,0,03/04/2024 17:17:46,6.5,0,0,0,03/04/2024 17:18:29,6.5,0,0,0,03/04/2024 17:19:16,6.5,0,0,0,03/04/2024 17:19:57,6.5,0,0,0
03/04/2024 17:17:04,6.6,0,-1,0,03/04/2024 17:17:46,6.6,0,0,0,03/04/2024 17:18:29,6.6,0,0,0,03/04/2024 17:19:16,6.6,0,0,0,03/04/2024 17:19:57,6.6,0,0,0
03/04/2024 17:17:04,6.7,0,-1,0,03/04/2024 17:17:46,6.7,0,0,0,03/04/2024 17:18:29,6.7,0,0,0,03/04/2024 17:19:16,6.7,0,0,0,03/04/2024 17:19:57,6.7,0,0,0
03/04/2024 17:17:04,6.8,0,0,0,03/04/2024 17:17:46,6.8,0,0,0,03/04/2024 17:18:29,6.8,0,1,0,03/04/2024 17:19:16,6.8,0,0,0,03/04/2024 17:19:57,6.8,0,0,0
03/04/2024 17:17:04,6.9,0,-1,0,03/04/2024 17:17:46,6.9,0,0,0,03/04/2024 17:18:29,6.9,0,1,0,03/04/2024 17:19:16,6.9,0,0,0,03/04/2024 17:19:57,6.9,0,0,0
03/04/2024 17:17:05,7,0,-1,0,03/04/2024 17:17:47,7,0,0,0,03/04/2024 17:18:30,7,0,0,0,03/04/2024 17:19:17,7,0,0,0,03/04/2024 17:19:58,7,0,0,0
03/04/2024 17:17:05,7.1,0,-1,0,03/04/2024 17:17:47,7.1,0,0,0,03/04/2024 17:18:30,7.1,0,0,0,03/04/2024 17:19:17,7.1,0,0,0,03/04/2024 17:19:58,7.1,0,0,0
03/04/2024 17:17:05,7.2,0,0,0,03/04/2024 17:17:47,7.2,0,0,0,03/04/2024 17:18:30,7.2,0,0,0,03/04/2024 17:19:17,7.2,0,0,0,03/04/2024 17:19:58,7.2,0,0,0
03/04/2024 17:17:05,7.3,0,0,0,03/04/2024 17:17:47,7.3,0,0,0,03/04/2024 17:18:30,7.3,0,0,0,03/04/2024 17:19:17,7.3,0,0,0,03/04/2024 17:19:58,7.3,0,0,0
03/04/2024 17:17:05,7.4,0,0,0,03/04/2024 17:17:47,7.4,0,0,0,03/04/2024 17:18:30,7.4,0,1,0,03/04/2024 17:19:17,7.4,0,0,0,03/04/2024 17:19:58,7.4,0,0,0
03/04/2024 17:17:05,7.5,0,-1,0,03/04/2024 17:17:47,7.5,0,0,0,03/04/2024 17:18:30,7.5,0,0,0,03/04/2024 17:19:17,7.5,0,0,0,03/04/2024 17:19:58,7.5,0,0,0
03/04/2024 17:17:05,7.6,0,0,0,03/04/2024 17:17:47,7.6,0,0,0,03/04/2024 17:18:30,7.6,0,1,0,03/04/2024 17:19:17,7.6,0,0,0,03/04/2024 17:19:58,7.6,0,0,0
03/04/2024 17:17:05,7.7,0,0,0,03/04/2024 17:17:47,7.7,0,0,0,03/04/2024 17:18:30,7.7,0,1,0,03/04/2024 17:19:17,7.7,0,0,0,03/04/2024 17:19:58,7.7,0,0,0
03/04/2024 17:17:05,7.8,0,-1,0,03/04/2024 17:17:47,7.8,0,0,0,03/04/2024 17:18:30,7.8,0,0,0,03/04/2024 17:19:17,7.8,0,0,0,03/04/2024 17:19:58,7.8,0,0,0
03/04/2024 17:17:05,7.9,0,0,0,03/04/2024 17:17:47,7.9,0,0,0,03/04/2024 17:18:30,7.9,0,0,0,03/04/2024 17:19:17,7.9,0,1,0,03/04/2024 17:19:58,7.9,0,0,0
03/04/2024 17:17:06,8,0,0,0,03/04/2024 17:17:48,8,0,0,0,03/04/2024 17:18:31,8,0,0,0,03/04/2024 17:19:18,8,0,0,0,03/04/2024 17:19:59,8,0,0,0
03/04/2024 17:17:06,8.1,0,0,0,03/04/2024 17:17:48,8.1,0,0,0,03/04/2024 17:18:31,8.1,0,0,0,03/04/2024 17:19:18,8.1,0,0,0,03/04/2024 17:19:59,8.1,0,0,0
03/04/2024 17:17:06,8.2,0,1,0,03/04/2024 17:17:48,8.2,0,0,0,03/04/2024 17:18:31,8.2,0,1,0,03/04/2024 17:19:18,8.2,0,1,0,03/04/2024 17:19:59,8.2,0,0,0
03/04/2024 17:17:06,8.3,0,4,0,03/04/2024 17:17:48,8.3,0,5,0,03/04/2024 17:18:31,8.3,0,7,0,03/04/2024 17:19:18,8.3,0,8,0,03/04/2024 17:19:59,8.3,0,9,0
03/04/2024 17:17:06,8.4,0,5,0,03/04/2024 17:17:48,8.4,0,7,0,03/04/2024 17:18:31,8.4,0,11,0,03/04/2024 17:19:18,8.4,0,13,0,03/04/2024 17:19:59,8.4,0,14,0
03/04/2024 17:17:06,8.5,0,5,0,03/04/2024 17:17:48,8.5,0,7,0,03/04/2024 17:18:31,8.5,0,13,0,03/04/2024 17:19:18,8.5,0,14,0,03/04/2024 17:19:59,8.5,0,17,0
03/04/2024 17:17:06,8.6,0,5,0,03/04/2024 17:17:48,8.6,0,7,0,03/04/2024 17:18:31,8.6,0,13,0,03/04/2024 17:19:18,8.6,0,13,0,03/04/2024 17:19:59,8.6,0,18,0
03/04/2024 17:17:06,8.7,0,5,0,03/04/2024 17:17:48,8.7,0,7,0,03/04/2024 17:18:31,8.7,0,13,0,03/04/2024 17:19:18,8.7,0,13,0,03/04/2024 17:19:59,8.7,0,17,0
03/04/2024 17:17:06,8.8,0,5,0,03/04/2024 17:17:48,8.8,0,7,0,03/04/2024 17:18:31,8.8,0,13,0,03/04/2024 17:19:18,8.8,0,14,0,03/04/2024 17:19:59,8.8,0,17,0
03/04/2024 17:17:06,8.9,0,5,0,03/04/2024 17:17:48,8.9,0,7,0,03/04/2024 17:18:31,8.9,0,13,0,03/04/2024 17:19:18,8.9,0,13,0,03/04/2024 17:19:59,8.9,0,17,0
03/04/2024 17:17:07,9,0,4,0,03/04/2024 17:17:49,9,0,7,0,03/04/2024 17:18:32,9,0,13,0,03/04/2024 17:19:19,9,0,13,0,03/04/2024 17:20:00,9,0,16,0
03/04/2024 17:17:07,9.1,0,4,0,03/04/2024 17:17:49,9.1,0,6,0,03/04/2024 17:18:32,9.1,0,13,0,03/04/2024 17:19:19,9.1,0,13,0,03/04/2024 17:20:00,9.1,0,16,0
03/04/2024 17:17:07,9.2,0,4,0,03/04/2024 17:17:49,9.2,0,7,0,03/04/2024 17:18:32,9.2,0,13,0,03/04/2024 17:19:19,9.2,0,13,0,03/04/2024 17:20:00,9.2,0,17,0
03/04/2024 17:17:07,9.3,0,4,0,03/04/2024 17:17:49,9.3,0,7,0,03/04/2024 17:18:32,9.3,0,13,0,03/04/2024 17:19:19,9.3,0,13,0,03/04/2024 17:20:00,9.3,0,17,0
03/04/2024 17:17:07,9.4,0,4,0,03/04/2024 17:17:49,9.4,0,7,0,03/04/2024 17:18:32,9.4,0,13,0,03/04/2024 17:19:19,9.4,0,13,0,03/04/2024 17:20:00,9.4,0,17,0
03/04/2024 17:17:07,9.5,0,4,0,03/04/2024 17:17:49,9.5,0,6,0,03/04/2024 17:18:32,9.5,0,12,0,03/04/2024 17:19:19,9.5,0,13,0,03/04/2024 17:20:00,9.5,0,16,0
03/04/2024 17:17:07,9.6,0,4,0,03/04/2024 17:17:49,9.6,0,7,0,03/04/2024 17:18:32,9.6,0,13,0,03/04/2024 17:19:19,9.6,0,13,0,03/04/2024 17:20:00,9.6,0,17,0
03/04/2024 17:17:07,9.7,0,4,0,03/04/2024 17:17:49,9.7,0,7,0,03/04/2024 17:18:32,9.7,0,12,0,03/04/2024 17:19:19,9.7,0,13,0,03/04/2024 17:20:00,9.7,0,15,0
03/04/2024 17:17:07,9.8,0,4,0,03/04/2024 17:17:49,9.8,0,6,0,03/04/2024 17:18:32,9.8,0,13,0,03/04/2024 17:19:19,9.8,0,13,0,03/04/2024 17:20:00,9.8,0,15,0
03/04/2024 17:17:07,9.9,0,4,0,03/04/2024 17:17:49,9.9,0,6,0,03/04/2024 17:18:32,9.9,0,13,0,03/04/2024 17:19:19,9.9,0,13,0,03/04/2024 17:20:00,9.9,0,14,0
03/04/2024 17:17:08,10,0,4,0,03/04/2024 17:17:50,10,0,6,0,03/04/2024 17:18:33,10,0,12,0,03/04/2024 17:19:20,10,0,13,0,03/04/2024 17:20:01,10,0,11,0
